,file_name,timestamp,updates_num,diff_updates_num,withdrawls_num,diff_withdrawls_num,peers_num,diff_peers_num,origins_num,diff_origins_num,prefixes_num,diff_prefixes_num,avg_update_per_peer,avg_update_per_origin,avg_prefix_per_peer,avg_prefix_per_origin,new_prefixes_num,more_specific_num,origins_of_new_prefixes,peers_of_new_prefixes,origins_of_more_specific_prefixes,peers_of_more_specific_prefixes,new_peers_num,new_origins_num,Leak_type
64,telecomMalysia12june2015from840to1040/routeviews-sydney\updates.20150612.0330.txt,330,22619,10,1120,-144,7,0,530,13,3137,-354,3391,44,1020,6,2169,2,369,6,2,1,0,286,0
65,telecomMalysia12june2015from840to1040/routeviews-sydney\updates.20150612.0400.txt,400,36780,14161,3933,2813,7,0,773,243,6921,3784,5816,52,2054,9,5680,112,463,7,15,3,0,465,0
66,telecomMalysia12june2015from840to1040/routeviews-sydney\updates.20150612.0430.txt,430,20929,-15851,1661,-2272,7,0,555,-218,3309,-3612,3227,40,1020,6,2367,16,395,7,3,2,0,302,0
67,telecomMalysia12june2015from840to1040/routeviews-sydney\updates.20150612.0500.txt,500,18623,-2306,1134,-527,7,0,487,-68,2563,-746,2822,40,859,5,1604,1,318,7,1,1,0,272,0
68,telecomMalysia12june2015from840to1040/routeviews-sydney\updates.20150612.0530.txt,530,43440,24817,1691,557,7,0,414,-73,2759,196,6447,109,1236,6,1792,0,242,7,0,0,0,183,0
69,telecomMalysia12june2015from840to1040/routeviews-sydney\updates.20150612.0600.txt,600,40172,-3268,3151,1460,7,0,470,56,3745,986,6189,92,1568,8,2751,1,285,7,1,1,0,233,0
70,telecomMalysia12june2015from840to1040/routeviews-sydney\updates.20150612.0630.txt,630,24987,-15185,1435,-1716,7,0,529,59,3755,10,3774,49,1185,7,2735,1,355,7,1,1,0,284,0
71,telecomMalysia12june2015from840to1040/routeviews-sydney\updates.20150612.0700.txt,700,36945,11958,3171,1736,7,0,479,-50,3291,-464,5730,83,1918,6,2915,5,379,7,3,3,0,270,0
72,telecomMalysia12june2015from840to1040/routeviews-sydney\updates.20150612.0730.txt,730,31180,-5765,1957,-1214,7,0,792,313,7386,4095,4733,41,1907,9,6336,0,626,7,0,0,0,570,0
73,telecomMalysia12june2015from840to1040/routeviews-sydney\updates.20150612.0800.txt,800,69389,38209,4647,2690,7,0,661,-131,6651,-735,10576,112,3003,10,5042,27,429,7,14,5,0,417,1
74,telecomMalysia12june2015from840to1040/routeviews-sydney\updates.20150612.0830.txt,830,60053,-9336,1598,-3049,7,0,1569,908,16066,9415,8807,39,4612,10,15052,21,1401,7,3,3,0,1298,1
75,telecomMalysia12june2015from840to1040/routeviews-sydney\updates.20150612.0845.txt,845,608046,547993,46803,45205,7,0,6985,5416,62627,46561,93549,93,21957,8,61493,25,6795,7,11,4,0,5769,1
76,telecomMalysia12june2015from840to1040/routeviews-sydney\updates.20150612.0900.txt,900,625528,17482,46704,-99,7,0,5363,-1622,43271,-19356,96033,125,15985,8,42148,0,5006,7,0,0,0,1067,1
77,telecomMalysia12june2015from840to1040/routeviews-sydney\updates.20150612.0915.txt,915,675005,49477,63718,17014,7,0,7376,2013,62882,19611,105531,100,19743,8,59557,52,6328,6,12,3,0,3005,1
78,telecomMalysia12june2015from840to1040/routeviews-sydney\updates.20150612.0930.txt,930,564697,-110308,35498,-28220,7,0,5072,-2304,41941,-20941,85742,118,16009,8,40829,0,4761,7,0,0,0,797,1
79,telecomMalysia12june2015from840to1040/routeviews-sydney\updates.20150612.0945.txt,945,550103,-14594,38024,2526,7,0,5838,766,51129,9188,84018,100,17533,8,50519,4,5628,7,3,3,0,1495,1
80,telecomMalysia12june2015from840to1040/routeviews-sydney\updates.20150612.1000.txt,1000,456477,-93626,34384,-3640,7,0,5617,-221,46929,-4200,70123,87,14658,7,45781,81,5358,7,2,1,0,828,1
81,telecomMalysia12june2015from840to1040/routeviews-sydney\updates.20150612.1015.txt,1015,306681,-149796,32751,-1633,7,0,5494,-123,47875,946,48490,61,12904,8,46607,81,5228,7,3,3,0,1290,1
82,telecomMalysia12june2015from840to1040/routeviews-sydney\updates.20150612.1030.txt,1030,130685,-175996,9618,-23133,7,0,4796,-698,35092,-12783,20043,29,8995,7,33895,39,4591,7,11,1,0,1542,0
83,telecomMalysia12june2015from840to1040/routeviews-sydney\updates.20150612.1045.txt,1045,60907,-69778,2762,-6856,7,0,3020,-1776,19784,-15308,9095,21,4086,6,18666,0,2835,6,0,0,0,658,0
84,telecomMalysia12june2015from840to1040/routeviews-sydney\updates.20150612.1100.txt,1100,49738,-11169,12394,9632,7,0,923,-2097,8153,-11631,8876,67,3478,8,7131,1,680,7,1,1,0,471,0
85,telecomMalysia12june2015from840to1040/routeviews-sydney\updates.20150612.1115.txt,1115,33644,-16094,2067,-10327,7,0,1175,252,7499,-654,5101,30,1773,6,6411,1,973,7,1,1,0,809,0
